ID,Plan_sku,Nombre,tamaño,descripción,precio,url_foto_marca,billing_type
51,3MonthsTamponRegularNosotras99500,Tampon regular Nosotras,6,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$99.500,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,3Meses
52,3MonthsTamponMiniNosotras99500,Tampon mini Nosotras,3,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$99.500,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,3Meses
53,3MonthsTamponRegularApliNosotras99500,Tampon regular con aplicador Nosotras,7,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$99.500,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,3Meses
54,3MonthsTamponSuperApliNosotras99500,Tampon super con aplicador Nosotras,5,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$99.500,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,3Meses
55,3MonthsTamponMedioKotex99500,Tampon medio Kotex,2,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$99.500,https://2.bp.blogspot.com/-c4TIfzSGTiA/WyldH69lUyI/AAAAAAABrpI/O97x3jLKM0ExQB8NM5nl6Q4cnwybK6DQACLcBGAs/s1600/image002.png,3Meses
56,3MonthsTamponSuperKotex99500,Tampon super Kotex,1,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$99.500,https://2.bp.blogspot.com/-c4TIfzSGTiA/WyldH69lUyI/AAAAAAABrpI/O97x3jLKM0ExQB8NM5nl6Q4cnwybK6DQACLcBGAs/s1600/image002.png,3Meses
57,3MonthsToallaSensitivNosotras99500,Toalla sensiti v Nosotras,8,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$99.500,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,3Meses
58,3MonthsToallaPlusClasicaNosotras99500,Toalla plus clasica Nosotras,9,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$99.500,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,3Meses
59,3MonthsToallaUltraInvisibleNosotras99500,Toalla ultra invisible Nosotras,10,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$99.500,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,3Meses
60,3MonthsToallaInvisibleRapigelNosotras99500,Toalla invisible rapisec Nosotras,11,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$99.500,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,3Meses
